date,replication,slippage,nq_filter,placebo_qqq925,buy_hold
2016-09-13,33010.960999999785,24403.624999999814,26738.38100000009,24940.08300000012,26300.41978463223
2016-09-14,33076.13599999978,24439.614999999812,26738.38100000009,24940.08300000012,26432.743201314108
2016-09-15,34728.03399999978,25643.52099999981,28056.17000000009,26169.132000000118,26843.402080671654
2016-09-16,34454.29899999977,25388.895999999808,27777.683000000085,25909.269000000113,26761.270304800146
2016-09-19,34359.44799999978,25267.21299999981,27777.683000000085,25909.269000000113,26642.63551743019
2016-09-20,34182.47599999977,25085.330999999805,27777.683000000085,25722.745000000108,26692.827158240554
2016-09-21,34064.91199999978,24947.83699999981,27777.683000000085,25722.745000000108,26955.192553385656
2016-09-22,34292.96599999978,25098.017999999814,27777.683000000085,25877.58000000011,27169.64774593904
2016-09-23,34926.51199999978,25544.493999999813,28271.76900000008,26337.810000000107,26991.695564884103
2016-09-26,34770.88399999978,25378.514999999818,28088.218000000084,26337.810000000107,26768.114619456104
2016-09-27,36120.598999999784,26345.330999999816,28088.218000000084,27341.55300000011,27037.324329257164
2016-09-28,36034.12099999977,26229.00299999981,27964.161000000076,27341.55300000011,27082.953093630225
2016-09-29,35923.464999999786,26095.36799999982,27964.161000000076,27341.55300000011,26882.186530388757
2016-09-30,35643.261999999784,25838.996999999817,27689.45700000007,27341.55300000011,27078.39021719292
2016-10-03,35643.261999999784,25838.996999999817,27689.45700000007,27341.55300000011,27048.73152035043
2016-10-04,35486.32399999979,25673.20899999982,27689.45700000007,27341.55300000011,27007.665632414675
2016-10-05,35963.128999999695,26001.04399999975,28043.064,27690.612000000037,27103.4860375981
2016-10-06,35731.4459999997,25780.916999999754,28043.064,27690.612000000037,27089.797408286184
2016-10-07,35995.2539999997,25954.595999999758,28043.064,27690.612000000037,27028.19857638255
2016-10-10,36066.525999999685,25988.564999999748,28079.762999999988,27726.843000000026,27197.025004562878
2016-10-11,38368.11399999966,27628.931999999728,28079.762999999988,27726.843000000026,26802.3361927359
2016-10-12,37983.82899999966,27311.94899999973,28079.762999999988,27726.843000000026,26788.647563423983
2016-10-13,38633.52699999962,27760.292999999703,28541.03999999996,28182.372,26697.39003467786
2016-10-14,38500.91399999963,27608.46999999971,28541.03999999996,28182.372,26724.7672933017
2016-10-17,38368.09899999962,27456.646999999703,28541.03999999996,28182.372,26649.47983208615
2016-10-18,38145.96999999962,27241.8169999997,28317.89399999996,28182.372,26889.030845044716
2016-10-19,38145.96999999962,27241.8169999997,28317.89399999996,28182.372,26882.186530388757
2016-10-20,37989.15399999962,27074.391999999698,28317.89399999996,28182.372,26854.80927176492
2016-10-21,37716.752999999626,26825.0719999997,28057.191999999966,27922.754000000004,26957.473991604307
2016-10-24,37563.44599999962,26661.990999999696,28057.191999999966,27752.976,27276.87534221573
2016-10-25,37373.63899999961,26473.77899999969,27859.062999999962,27556.956999999995,27185.617813469613
2016-10-26,37220.815999999606,26311.964999999684,27688.74199999996,27388.44599999999,27009.947070633327
2016-10-27,38596.7639999996,27266.879999999677,28693.290999999954,28382.204999999984,26891.31228326337
2016-10-28,38209.771999999604,26948.182999999677,28693.290999999954,28382.204999999984,26708.797225771126
2016-10-31,38039.34099999961,26772.84499999968,28506.683999999957,28197.507999999987,26685.982843584596
2016-11-01,39337.041999999536,27667.65099999963,29459.250999999902,28197.507999999987,26492.06059499909
2016-11-02,39172.84499999953,27494.976999999628,29275.354999999898,28021.575999999983,26273.042526008398
2016-11-03,38780.03999999951,27164.300999999617,29275.354999999898,28021.575999999983,26022.08432195656
2016-11-04,38553.888999999515,26993.299999999617,29275.354999999898,28021.575999999983,25923.98247855448
2016-11-07,38338.7929999995,26786.664999999608,29275.354999999898,28021.575999999983,26544.53367402811
2016-11-08,38179.072999999495,26619.782999999603,29092.906999999894,27847.09199999998,26724.7672933017
2016-11-09,38824.9939999995,27061.928999999607,29576.2699999999,28310.470999999983,26834.276327797044
2016-11-10,38481.51799999951,26767.571999999614,29254.627999999906,28002.63199999999,26398.521628034312
2016-11-11,38096.24899999951,26467.436999999616,29254.627999999906,28002.63199999999,26425.89888665815
2016-11-14,38874.16399999952,26995.721999999623,29838.747999999912,28561.840999999997,26152.126300419786
2016-11-15,38657.29699999952,26789.086999999625,29838.747999999912,28561.840999999997,26519.437853622923
2016-11-16,39975.63399999951,27684.44299999962,30835.848999999907,29516.305999999993,26674.57565249133
2016-11-17,41069.9949999995,28424.739999999616,31659.8749999999,29516.305999999993,26868.49790107684
2016-11-18,40762.583999999486,28154.136999999602,31659.8749999999,29516.305999999993,26765.833181237453
2016-11-21,41909.91999999948,28927.5409999996,31659.8749999999,29516.305999999993,27048.73152035043
2016-11-22,41683.39299999949,28712.949999999604,31424.951999999907,29297.295,27126.30041978463
2016-11-23,41538.87099999947,28595.442999999592,31424.951999999907,29297.295,27019.07282350794
2016-11-25,41285.10899999946,28362.877999999586,31169.2509999999,29058.945999999993,27103.4860375981
2016-11-28,41130.70799999946,28199.401999999587,30989.7009999999,28891.536999999993,27044.168643913123
2016-11-29,41004.58199999946,28055.951999999583,30989.7009999999,28744.46299999999,27139.98904909655
2016-11-30,40672.00199999945,27771.807999999575,30676.05899999989,28453.39599999998,26797.773316298593
2016-12-01,42666.609999999455,29116.56699999958,32161.529999999893,29831.733999999982,26355.174301879906
2016-12-02,42239.12799999946,28778.760999999584,32161.529999999893,29485.548999999985,26393.95875159701
2016-12-05,41815.88599999947,28450.281999999588,32161.529999999893,29485.548999999985,26601.569629494436
2016-12-06,41398.59199999946,28108.056999999582,31774.727999999886,29130.687999999976,26663.168461398065
2016-12-07,41099.39399999947,27847.083999999588,31479.879999999892,28860.22999999998,27007.665632414675
2016-12-08,41014.725999999464,27733.343999999586,31351.25699999989,28742.25499999998,27055.575835006388
2016-12-09,41550.37899999946,28076.882999999587,31351.25699999989,28742.25499999998,27263.186712903815
2016-12-12,41339.43199999948,27877.698999999597,31128.8629999999,28742.25499999998,27142.270487315203
2016-12-13,42707.21899999949,28781.775999999605,32138.56099999991,29674.432999999986,27486.767658331813
2016-12-14,42338.4259999995,28476.183999999615,31797.01699999992,29359.210999999996,27416.04307355357
2016-12-15,41914.19099999951,28146.953999999627,31797.01699999992,29359.210999999996,27473.079029019893
2016-12-16,41662.4199999995,27921.859999999622,31542.76199999991,29359.210999999996,27288.282533308997
2016-12-19,41521.827999999514,27771.646999999626,31373.06799999992,29201.27,27397.791567804343
2016-12-20,41341.30999999952,27595.73599999963,31373.06799999992,29201.27,27505.019164081037
2016-12-21,41107.03999999951,27384.370999999628,31373.06799999992,29201.27,27477.6419054572
2016-12-22,41324.39299999953,27510.860999999637,31518.04499999993,29336.239000000012,27400.073006022998
2016-12-23,41116.61699999954,27317.584999999646,31296.705999999936,29130.092000000022,27425.16882642818
2016-12-27,41510.81299999953,27561.29899999964,31296.705999999936,29130.092000000022,27571.180872421974
2016-12-28,41372.44299999952,27414.94999999963,31296.705999999936,28975.371000000014,27354.444241649937
2016-12-29,41123.02499999951,27194.916999999623,31296.705999999936,28975.371000000014,27308.815477276876
2016-12-30,42701.750999999495,28221.177999999614,32477.639999999927,30068.243000000006,27037.324329257164
2017-01-03,42357.120999999504,27936.73299999962,32477.639999999927,29765.13600000001,27267.74958934112
2017-01-04,42487.15299999951,28009.217999999626,32477.639999999927,29765.13600000001,27422.88738820953
2017-01-05,43115.98299999952,28405.634999999635,32937.272999999936,30186.576000000015,27575.74374885928
2017-01-06,42772.07599999953,28122.69499999964,32609.182999999943,29885.877000000022,27813.013323599196
2017-01-09,42490.67599999953,27882.574999999637,32609.182999999943,29885.877000000022,27908.833728782625
2017-01-10,42350.48799999953,27736.064999999642,32609.182999999943,29885.877000000022,27970.43256068626
2017-01-11,42169.57699999954,27563.400999999645,32609.182999999943,29885.877000000022,28043.438583683153
2017-01-12,41975.27899999954,27382.500999999644,32395.11799999994,29689.701000000023,28000.091257528748
2017-01-13,42192.31399999953,27506.21099999964,32395.11799999994,29689.701000000023,28098.19310093083
2017-01-17,42039.79999999954,27352.99499999964,32214.71299999994,29524.344000000023,28016.06132505932
2017-01-18,41778.32099999954,27129.60499999964,32214.71299999994,29283.133000000023,28073.097280525642
2017-01-19,41600.81599999954,26961.715999999644,32214.71299999994,29283.133000000023,28052.564336557767
2017-01-20,41276.67099999953,26699.544999999634,31901.37199999993,28998.086000000014,28118.726044898704
2017-01-23,40900.69299999955,26404.238999999645,31548.777999999944,28677.546000000028,28139.258988866583
2017-01-24,40714.290999999546,26232.785999999644,31343.757999999943,28491.219000000026,28328.618361014785
2017-01-25,40608.74799999955,26114.345999999645,31343.757999999943,28491.219000000026,28613.798138346414
2017-01-26,40375.07699999956,25914.31599999965,31103.72199999995,28491.219000000026,28638.893958751596
2017-01-27,40296.75299999956,25847.571999999647,31103.72199999995,28491.219000000026,28700.49279065523
2017-01-30,40668.98499999957,26069.765999999654,31371.107999999957,28736.00900000003,28479.193283445886
2017-01-31,40458.55799999956,25884.567999999646,31148.339999999946,28736.00900000003,28426.720204416866
2017-02-01,40264.069999999556,25710.70399999964,31148.339999999946,28736.00900000003,28616.079576565066
2017-02-02,39902.141999999556,25430.40199999964,30808.703999999943,28422.63000000003,28590.983756159883
2017-02-03,39786.48099999957,25308.09199999965,30660.421999999955,28285.97500000004,28673.115532031392
2017-02-06,39696.45299999956,25202.505999999645,30660.421999999955,28285.97500000004,28705.055667092536
2017-02-07,39959.583999999566,25353.51699999965,30844.12999999996,28455.508000000045,28810.001825150575
2017-02-08,39882.29699999956,25256.232999999647,30725.791999999958,28346.366000000042,28864.756342398246
2017-02-09,40195.53899999956,25438.745999999646,30725.791999999958,28551.09200000004,28967.421062237634
2017-02-10,40080.60599999957,25318.096999999656,30725.791999999958,28551.09200000004,29056.397152765105
2017-02-13,40443.01199999958,25531.144999999662,30725.791999999958,28551.09200000004,29222.942142726777
2017-02-14,40340.708999999566,25418.76799999965,30590.572999999946,28551.09200000004,29323.32542434751
2017-02-15,41318.35399999957,26019.136999999653,31313.140999999945,29225.084000000043,29496.71472896514
2017-02-16,41100.15799999955,25833.64399999964,31313.140999999945,29225.084000000043,29487.588976090527
2017-02-17,40933.39499999956,25680.843999999644,31313.140999999945,29225.084000000043,29617.63095455375
2017-02-21,41410.17699999955,25964.09499999964,31313.140999999945,29225.084000000043,29763.643000547545
2017-02-22,41320.006999999525,25859.818999999625,31187.380999999925,29107.708000000024,29770.487315203503
2017-02-23,42014.4919999995,26278.78699999961,31692.57599999991,29579.04700000001,29663.259718926816
2017-02-24,41896.3739999995,26156.17499999961,31692.57599999991,29579.04700000001,29718.014236174484
2017-02-27,41727.38399999951,26002.419999999613,31506.350999999915,29405.237000000016,29756.798685891587
2017-02-28,42174.103999999505,26264.63299999961,31824.16499999991,29405.237000000016,29658.696842489506
2017-03-01,41927.713999999505,26063.07999999961,31824.16499999991,29179.588000000018,29991.78682241285
2017-03-02,42564.9369999995,26443.40599999961,32288.31599999991,29605.419000000016,29836.649023544443
2017-03-03,42433.43499999951,26313.156999999614,32288.31599999991,29605.419000000016,29893.68497901077
2017-03-06,42341.20599999948,26207.570999999596,32288.31599999991,29605.419000000016,29825.241832451175
2017-03-07,42093.66999999948,26006.268999999596,32288.31599999991,29605.419000000016,29775.05019164081
2017-03-08,41989.17999999947,25893.891999999585,32288.31599999991,29477.532000000007,29825.241832451175
2017-03-09,41704.97399999947,25671.058999999586,32010.406999999912,29223.789000000008,29850.33765285636
2017-03-10,41538.73499999948,25521.88799999959,32010.406999999912,29223.789000000008,29973.535316663627
